"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_lf";74;0,570179417513189;0,776534221560744;0,734261802869672;0,465109483630462;1;0,936520465915689
"PTA_hf";74;-0,289157244491197;2,63609687056561;-0,109691433467373;0,912951021796956;1;0,975391439508502
"teoae_SNR_1";74;3,06441158389775;1,62257241999212;1,88861313439102;0,0628627958181392;1;0,364604215745207
"teoae_SNR_2";74;0,629027305361167;1,1246547707851;0,559307017318793;0,577641111832169;1;0,936520465915689
"teoae_SNR_3";72;0,0436453979542748;1,40998365036948;0,0309545418791471;0,975391439508502;1;0,975391439508502
"teoae_SNR_4";74;-0,454531677878347;1,2196823394661;-0,37266398239177;0,710463801729143;1;0,936520465915689
"teoae_SNR_5";50;-2,28931366380967;1,41509981072834;-1,61777540103788;0,112003116271666;1;0,46401291026833
"SP_amp";63;0,001560268274525;0,0118928109097729;0,131194238802102;0,896039713236844;1;0,975391439508502
"AP_amp_pm";63;-0,114375859679677;0,048995324428427;-2,33442396828616;0,0227750713480445;0,660477069093291;0,328135296732732
"WV_amp_pm";63;-0,0725467165508443;0,0355131283550718;-2,04281402149365;0,0452600409286527;1;0,328135296732732
"abr_IV_ratio";63;-0,0171294874766666;0,105533069371712;-0,162313932292944;0,871578128457;1;0,975391439508502
"AP_lat";63;1,0092954993823e-05;6,32972787597709e-05;0,159453221237651;0,873821917447179;1;0,975391439508502
"WV_lat";63;0,000186274989847558;0,000107824446282622;1,72757659574998;0,0889638640453404;1;0,429992009552478
"memr_slope";69;-0,00167208928703831;0,00275078722504827;-0,607858460230042;0,545276912712226;1;0,936520465915689
"FFR_SNR";64;-3,95959859869604;1,88636450323518;-2,09906335276411;0,0397611825273898;1;0,328135296732732
"FFR_noise";64;9,21313950329197e-06;7,44312909666938e-06;1,23780460927577;0,220310321323793;1;0,551985101863112
"EFR_SNR";43;0,720481311687963;1,90558057819592;0,378090184131741;0,707223721608789;1;0,936520465915689
"EFR_noise";43;-5,7263565973556e-08;1,74424890865596e-06;-0,0328299279359624;0,973962131546457;1;0,975391439508502
"Neg_4Hz";73;0,0627065858187131;0,140307884736383;0,446921325458859;0,656255023601594;1;0,936520465915689
"ITPC_ratio";73;-0,0204233433761355;0,0405997494362105;-0,503041118719814;0,616449781700247;1;0,936520465915689
"AEP_p2n1_int";70;0,208864109964743;0,403692551042263;0,517384106854318;0,606519195623139;1;0,936520465915689
"AEP_p2n1_slope";70;-0,199869894260059;0,164532599461221;-1,21477381938019;0,22853422687038;1;0,551985101863112
"acalos_AC_slope_1";72;-0,00586571752273843;0,0130771678641687;-0,448546473033386;0,655105877683184;1;0,936520465915689
"acalos_AC_slope_2";72;-0,0133478329790019;0,0114470329982134;-1,16605176040683;0,247441597386912;1;0,551985101863112
"acalos_AC_slope_3";72;-0,0259813920943739;0,0115250727801151;-2,25433648793968;0,0272183641301193;0,789332559773461;0,328135296732732
"acalos_AC_slope_4";72;-0,0243657904915631;0,0160447695012708;-1,51861268493967;0,133239111862873;1;0,482991780502916
"nesi";70;10,9101377668714;8,12050800864219;1,34352897075655;0,183440000416996;1;0,531976001209287
"tts";70;0,0688793214709256;0,271198008845666;0,25398166367115;0,800254280595664;1;0,975391439508502
"ssq12_mean";72;0,434889479071297;0,312964960877231;1,38957881371868;0,168938940155122;1;0,531976001209287
