"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_hf";101;-1,38372818630469;2,5261686783934;-0,547757637144293;0,585066837437321;1;0,864651483511553
"teoae_SNR_1";101;2,38233559320904;1,35818509830836;1,75405811488896;0,0824537658038777;1;0,305627224597898
"teoae_SNR_2";101;0,554514671732786;0,916177991158036;0,605247754349444;0,546371942389047;1;0,864651483511553
"teoae_SNR_3";99;-0,246228249761841;1,12799884145616;-0,218287679661071;0,827654306343212;1;0,940326916985005
"teoae_SNR_4";97;-0,697561366485061;1,07422193641389;-0,649364291343511;0,51763763255843;1;0,864651483511553
"teoae_SNR_5";64;-2,06444759688187;1,21763783914347;-1,69545289290129;0,0948498283234855;1;0,305627224597898
"SP_amp";82;-0,000800850174475671;0,0104191188409393;-0,0768635224054579;0,938919351399125;1;0,993166139921887
"AP_amp_pm";82;-0,106086875539802;0,0408635365687037;-2,59612565254695;0,0111700106491777;0,323930308826154;0,161965154413077
"WV_amp_pm";82;-0,0596938535910897;0,0326101859532522;-1,83052785030613;0,0708040601663598;1;0,305627224597898
"AP_lat";82;1,10407374615963e-05;5,55872697555604e-05;0,198619891031649;0,843051718676212;1;0,940326916985005
"WV_lat";82;0,000163224916537938;9,57945011859955e-05;1,70390695203912;0,0921854285383708;1;0,305627224597898
"memr_slope";91;-0,00293677903547916;0,00234347247719024;-1,25317410981514;0,213352762187193;1;0,51560250861905
"FFR_SNR";82;-3,93674758922123;1,69863337559226;-2,31759698460453;0,0229642988044999;0,665964665330496;0,221988221776832
"FFR_noise";82;5,655076195078e-06;6,22132157453651e-06;0,908983103883247;0,366022982768385;1;0,707644433352212
"EFR_SNR";54;0,687522236774214;1,40047205614522;0,49092178152173;0,625470995480418;1;0,864651483511553
"EFR_noise";54;3,50628229403133e-07;1,7050411427469e-06;0,205642093092402;0,837843786344968;1;0,940326916985005
"Neg_4Hz";99;0,0709186835002441;0,113366479057516;0,625570134045213;0,533036400042966;1;0,864651483511553
"ITPC_ratio";99;-0,00230571699816245;0,0446492086613837;-0,0516407136271739;0,958919031648718;1;0,993166139921887
"AEP_p2n1_int";95;-0,0031261062978109;0,388998813892939;-0,00803628747996974;0,993604891121706;1;0,993604891121706
"ABR_NF_slope";93;-0,106676621681872;0,0751026382447175;-1,42041110905148;0,158831980584296;1;0,460612743694459
"ABR_NF_int";93;-0,0201527375208074;0,0940119881245668;-0,214363486219489;0,830732934376579;1;0,940326916985005
"acalos_AC_slope_1";98;0,00313800654329071;0,0114719840187984;0,273536516277277;0,785016485281546;1;0,940326916985005
"acalos_AC_slope_2";98;-0,010670566390255;0,00998852471974972;-1,06828252315947;0,288017508222818;1;0,59660769560441
"acalos_AC_slope_3";98;-0,0193746234292926;0,00981244946080795;-1,97449408597487;0,0511399297033267;1;0,305627224597898
"acalos_AC_slope_4";98;-0,0199324824224976;0,0146947996825472;-1,35643104044291;0,178078811359839;1;0,469480502675939
"rds";97;1,50338378351907;0,785644518002807;1,91356745839815;0,05862386303938;1;0,305627224597898
"nesi";97;7,74367060933048;6,78856205598223;1,14069379427807;0,256805917730196;1;0,572874739551975
"tts";97;0,123725375763823;0,253150235970416;0,48874288143378;0,626126936335952;1;0,864651483511553
"ssq12_mean";99;0,712627679728709;0,266046732154354;2,67858084163672;0,008658078242823;0,251084269041867;0,161965154413077
